DQ_pct_X,TBZ_pct_Y,THI_pct_Z,accuracy_pls_Z2
0,0,100,0.5813
0,2,98,0.5764
0,4,96,0.5721
0,6,94,0.5685
0,8,92,0.5654
0,10,90,0.5622
0,12,88,0.5587
0,14,86,0.5552
0,16,84,0.5521
0,18,82,0.5504
0,20,80,0.5498
0,22,78,0.5498
0,24,76,0.5505
0,26,74,0.5529
0,28,72,0.5569
0,30,70,0.5616
0,32,68,0.5667
0,34,66,0.5721
0,36,64,0.5777
0,38,62,0.5836
0,40,60,0.5899
0,42,58,0.5968
0,44,56,0.6049
0,46,54,0.6147
0,48,52,0.6267
0,50,50,0.6369
0,52,48,0.6289
0,54,46,0.6189
0,56,44,0.6108
0,58,42,0.6042
0,60,40,0.5981
0,62,38,0.5921
0,64,36,0.5856
0,66,34,0.5783
0,68,32,0.5695
0,70,30,0.5588
0,72,28,0.5452
0,74,26,0.5265
0,76,24,0.4965
0,78,22,0.457
0,80,20,0.4189
0,82,18,0.39
0,84,16,0.3834
0,86,14,0.4054
0,88,12,0.4405
0,90,10,0.4817
0,92,8,0.5236
0,94,6,0.5635
0,96,4,0.6007
0,98,2,0.6344
0,100,0,0.6647
2,0,98,0.586
2,2,96,0.5812
2,4,94,0.5771
2,6,92,0.5738
2,8,90,0.5708
2,10,88,0.5676
2,12,86,0.564
2,14,84,0.5604
2,16,82,0.5572
2,18,80,0.5549
2,20,78,0.5531
2,22,76,0.5517
2,24,74,0.5511
2,26,72,0.5519
2,28,70,0.5536
2,30,68,0.5555
2,32,66,0.5576
2,34,64,0.5595
2,36,62,0.5612
2,38,60,0.5628
2,40,58,0.5642
2,42,56,0.5654
2,44,54,0.5667
2,46,52,0.5683
2,48,50,0.5705
2,50,48,0.5712
2,52,46,0.5703
2,54,44,0.5698
2,56,42,0.5693
2,58,40,0.5685
2,60,38,0.5669
2,62,36,0.5643
2,64,34,0.5605
2,66,32,0.5552
2,68,30,0.5479
2,70,28,0.5378
2,72,26,0.5235
2,74,24,0.5018
2,76,22,0.4701
2,78,20,0.4355
2,80,18,0.4064
2,82,16,0.3924
2,84,14,0.4032
2,86,12,0.4333
2,88,10,0.4734
2,90,8,0.5169
2,92,6,0.5594
2,94,4,0.5989
2,96,2,0.6344
2,98,0,0.6657
4,0,96,0.5922
4,2,94,0.5876
4,4,92,0.5841
4,6,90,0.5813
4,8,88,0.5786
4,10,86,0.5755
4,12,84,0.572
4,14,82,0.5682
4,16,80,0.5646
4,18,78,0.5611
4,20,76,0.5578
4,22,74,0.5548
4,24,72,0.5525
4,26,70,0.5508
4,28,68,0.5495
4,30,66,0.5482
4,32,64,0.5466
4,34,62,0.5446
4,36,60,0.5419
4,38,58,0.5384
4,40,56,0.5338
4,42,54,0.5278
4,44,52,0.5201
4,46,50,0.5104
4,48,48,0.5029
4,50,46,0.5108
4,52,44,0.5208
4,54,42,0.5285
4,56,40,0.534
4,58,38,0.5376
4,60,36,0.5393
4,62,34,0.5393
4,64,32,0.5372
4,66,30,0.533
4,68,28,0.5261
4,70,26,0.5155
4,72,24,0.4995
4,74,22,0.4768
4,76,20,0.45
4,78,18,0.4254
4,80,16,0.4108
4,82,14,0.4136
4,84,12,0.4353
4,86,10,0.4706
4,88,8,0.5129
4,90,6,0.5567
4,92,4,0.5984
4,94,2,0.6357
4,96,0,0.6681
6,0,94,0.6004
6,2,92,0.5963
6,4,90,0.5937
6,6,88,0.5916
6,8,86,0.5893
6,10,84,0.5863
6,12,82,0.5826
6,14,80,0.5783
6,16,78,0.5735
6,18,76,0.5684
6,20,74,0.5633
6,22,72,0.5582
6,24,70,0.5535
6,26,68,0.549
6,28,66,0.5444
6,30,64,0.5395
6,32,62,0.5341
6,34,60,0.5279
6,36,58,0.5205
6,38,56,0.5118
6,40,54,0.5012
6,42,52,0.4885
6,44,50,0.4739
6,46,48,0.4601
6,48,46,0.4597
6,50,44,0.4728
6,52,42,0.4865
6,54,40,0.4977
6,56,38,0.5063
6,58,36,0.5123
6,60,34,0.5159
6,62,32,0.5172
6,64,30,0.5159
6,66,28,0.512
6,68,26,0.5048
6,70,24,0.4935
6,72,22,0.4778
6,74,20,0.4588
6,76,18,0.4403
6,78,16,0.4283
6,80,14,0.4284
6,82,12,0.4438
6,84,10,0.4733
6,86,8,0.5122
6,88,6,0.5554
6,90,4,0.5985
6,92,2,0.6379
6,94,0,0.6714
8,0,92,0.611
8,2,90,0.6083
8,4,88,0.6068
8,6,86,0.6053
8,8,84,0.6031
8,10,82,0.5998
8,12,80,0.5953
8,14,78,0.5898
8,16,76,0.5833
8,18,74,0.5762
8,20,72,0.5688
8,22,70,0.5613
8,24,68,0.5538
8,26,66,0.5461
8,28,64,0.5382
8,30,62,0.5298
8,32,60,0.5207
8,34,58,0.5104
8,36,56,0.4989
8,38,54,0.4857
8,40,52,0.4709
8,42,50,0.455
8,44,48,0.4405
8,46,46,0.4334
8,48,44,0.4386
8,50,42,0.4511
8,52,40,0.4645
8,54,38,0.4763
8,56,36,0.4856
8,58,34,0.4923
8,60,32,0.4965
8,62,30,0.498
8,64,28,0.4968
8,66,26,0.4927
8,68,24,0.4854
8,70,22,0.4749
8,72,20,0.4621
8,74,18,0.4496
8,76,16,0.4411
8,78,14,0.4413
8,80,12,0.4535
8,82,10,0.4783
8,84,8,0.5135
8,86,6,0.5549
8,88,4,0.598
8,90,2,0.6391
8,92,0,0.6745
10,0,90,0.6257
10,2,88,0.6244
10,4,86,0.6235
10,6,84,0.6221
10,8,82,0.6196
10,10,80,0.6154
10,12,78,0.6094
10,14,76,0.6019
10,16,74,0.5932
10,18,72,0.5837
10,20,70,0.5737
10,22,68,0.5634
10,24,66,0.553
10,26,64,0.5423
10,28,62,0.5313
10,30,60,0.5197
10,32,58,0.5073
10,34,56,0.4938
10,36,54,0.4792
10,38,52,0.4635
10,40,50,0.4474
10,42,48,0.4327
10,44,46,0.4227
10,46,44,0.4211
10,48,42,0.4279
10,50,40,0.4391
10,52,38,0.4511
10,54,36,0.4619
10,56,34,0.4706
10,58,32,0.4769
10,60,30,0.4806
10,62,28,0.4817
10,64,26,0.4802
10,66,24,0.4761
10,68,22,0.4696
10,70,20,0.4614
10,72,18,0.4535
10,74,16,0.4485
10,76,14,0.4499
10,78,12,0.4606
10,80,10,0.4823
10,82,8,0.5142
10,84,6,0.5535
10,86,4,0.5959
10,88,2,0.6373
10,90,0,0.6743
12,0,88,0.6447
12,2,86,0.6439
12,4,84,0.6432
12,6,82,0.6416
12,8,80,0.638
12,10,78,0.6321
12,12,76,0.6239
12,14,74,0.6139
12,16,72,0.6025
12,18,70,0.5902
12,20,68,0.5774
12,22,66,0.5644
12,24,64,0.5512
12,26,62,0.5379
12,28,60,0.5242
12,30,58,0.51
12,32,56,0.4952
12,34,54,0.4797
12,36,52,0.4637
12,38,50,0.4477
12,40,48,0.4329
12,42,46,0.4215
12,44,44,0.4159
12,46,42,0.4172
12,48,40,0.4239
12,50,38,0.4336
12,52,36,0.4437
12,54,34,0.4528
12,56,32,0.4601
12,58,30,0.4653
12,60,28,0.468
12,62,26,0.4685
12,64,24,0.4667
12,66,22,0.463
12,68,20,0.4582
12,70,18,0.4535
12,72,16,0.4511
12,74,14,0.4536
12,76,12,0.4635
12,78,10,0.4828
12,80,8,0.5119
12,82,6,0.5491
12,84,4,0.5909
12,86,2,0.6324
12,88,0,0.6696
14,0,86,0.6664
14,2,84,0.666
14,4,82,0.6654
