condition,fold,DQ_uM,TBZ_uM,THI_uM,pred_DQ_uM,pred_TBZ_uM,pred_THI_uM,MAE_uM,RMSE_uM,Euclidean_distance_uM,mean_recovery_pct
DQ3-TB3-TH3,5,3,3,3,8.293010726367102,3.163203629045392,4.4082272665631335,2.2881472073252094,3.1636319849324375,5.479571334352959,176.27157357750696
DQ3-TB6-TH3,2,3,6,3,1.5147757971245008,5.033808661955173,4.751930487474302,1.4011153427982093,1.4385961985516713,2.4917217074669393,97.59567350640431
DQ3-TB12-TH3,3,3,12,3,3.741211342438674,10.774440590305938,7.480616332536991,2.1491290282232427,2.7158370618924987,4.703967776276389,154.615975806135
DQ3-TB24-TH3,1,3,24,3,5.579110951096198,15.646999526334563,3.966572441416323,3.9662279553926534,5.078014457627603,8.795379042180324,127.79509259227046
DQ6-TB3-TH3,5,6,3,3,7.4523620744305195,3.148525170351209,5.027157362238392,1.2093482023400401,1.4423109110901728,2.498155778319137,132.24292855338732
DQ6-TB6-TH3,1,6,6,3,6.9085185181012685,7.033846782321995,4.41065780208667,1.1176743675033112,1.1378635685116885,1.9708375127438744,126.46489391442559
DQ6-TB12-TH3,1,6,12,3,6.143202375023808,10.254780628920733,5.903371411320484,1.5972643858078532,1.957537834923919,3.3905549878266057,128.20741951180636
DQ6-TB24-TH3,2,6,24,3,3.398431215637535,22.926287784076596,3.4693100993869663,1.3815303665576117,1.6473483776237645,2.853291087810521,89.27012978017011
DQ12-TB3-TH3,4,12,3,3,9.204811969058834,2.951792630417457,3.6843536643474186,1.1759163549570424,1.6616999344751906,2.8781487134449044,99.3038809669954
DQ12-TB6-TH3,4,12,6,3,8.520862656649676,7.831318205405432,2.133637491903894,2.058939352283954,2.3244144078870486,4.026003852305497,90.88346954187811
DQ12-TB12-TH3,3,12,12,3,8.87043842817388,6.766692826430989,2.687308430257859,2.89185343837909,3.5251210675458813,6.105688791820906,73.2954582656564
