map,single_abs_error_uM,neural_abs_error_uM,DQ,TBZ,THI
DQ3-TB3-TH3.csv,5.090603471371109,2.5478160270776957,3,3,3
DQ3-TB6-TH3.csv,3.5193419965105424,1.6182310687216244,3,6,3
DQ3-TB12-TH3.csv,5.991730364809338,1.9356582585151898,3,12,3
DQ3-TB24-TH3.csv,8.88502818275605,3.4687079061142825,3,24,3
DQ6-TB3-TH3.csv,4.214019472566434,2.4612870195274024,6,3,3
DQ6-TB6-TH3.csv,3.4820823122373548,1.4756696885084608,6,6,3
DQ6-TB12-TH3.csv,4.8815861864441095,1.278538853002306,6,12,3
DQ6-TB24-TH3.csv,8.036498117542893,4.225458239444037,6,24,3
DQ12-TB3-TH3.csv,6.43697710084453,2.089666987189851,12,3,3
DQ12-TB6-TH3.csv,5.530761075953003,1.7550943279964375,12,6,3
DQ12-TB12-TH3.csv,7.0041397917312045,0.8220354115028718,12,12,3
DQ12-TB24-TH3.csv,11.16956464406829,4.342840070213685,12,24,3
DQ24-TB3-TH3.csv,7.943651400506181,1.1671743009338351,24,3,3
DQ24-TB6-TH3.csv,7.120627164126465,1.7269833414503808,24,6,3
DQ24-TB12-TH3.csv,7.780633157561834,3.0080026826178012,24,12,3
DQ24-TB24-TH3.csv,12.230741841805184,7.622651024316352,24,24,3
DQ3-TB3-TH6.csv,6.537725549604488,2.2498074412721443,3,3,6
DQ3-TB6-TH6.csv,4.214408180980379,2.4174902968238263,3,6,6
DQ3-TB12-TH6.csv,5.799755502492567,3.0565753862100054,3,12,6
DQ3-TB24-TH6.csv,7.368897618472171,4.105651838841017,3,24,6
DQ6-TB3-TH6.csv,3.585482999502672,1.7649651965928317,6,3,6
DQ6-TB6-TH6.csv,2.5653037237799325,2.1101113798988584,6,6,6
DQ6-TB12-TH6.csv,3.9928110802204437,1.5491717624815724,6,12,6
DQ6-TB24-TH6.csv,7.2241711763827965,3.579141824082322,6,24,6
DQ12-TB3-TH6.csv,5.559603597766063,3.2656509229546455,12,3,6
DQ12-TB6-TH6.csv,4.807709593581048,0.8361498346895303,12,6,6
DQ12-TB12-TH6.csv,4.935122625055041,1.5350528969110535,12,12,6
DQ12-TB24-TH6.csv,5.6654583905689,7.87224899476436,12,24,6
DQ24-TB3-TH6.csv,9.381244276490781,2.321139765606257,24,3,6
DQ24-TB6-TH6.csv,8.138411411748562,1.5650208205680636,24,6,6
DQ24-TB12-TH6.csv,7.232948385056223,2.3934207352243795,24,12,6
DQ24-TB24-TH6.csv,12.926903250550732,4.879925470500282,24,24,6
DQ3-TB3-TH12.csv,5.678143264151188,2.573507595182119,3,3,12
DQ3-TB6-TH12.csv,3.6735444320264734,1.913838755442984,3,6,12
DQ3-TB12-TH12.csv,4.59665489362274,2.669066017703326,3,12,12
DQ3-TB24-TH12.csv,2.2719587860944874,1.760352791254401,3,24,12
DQ6-TB3-TH12.csv,2.400302742737055,1.4806641660942688,6,3,12
DQ6-TB6-TH12.csv,2.180338841204036,0.711471351626544,6,6,12
DQ6-TB12-TH12.csv,5.170096360466812,2.6686056864453094,6,12,12
DQ6-TB24-TH12.csv,3.8427273030075657,2.1258933461736107,6,24,12
DQ12-TB3-TH12.csv,4.306539839908971,1.7551240881502908,12,3,12
DQ12-TB6-TH12.csv,3.1636015702347735,1.6674468676667822,12,6,12
DQ12-TB12-TH12.csv,5.754625693092099,3.3468996606887482,12,12,12
DQ12-TB24-TH12.csv,7.655718658292898,4.643685254249975,12,24,12
DQ24-TB3-TH12.csv,11.712794686375107,6.911767730741528,24,3,12
DQ24-TB6-TH12.csv,5.237283972223961,1.7694883372964185,24,6,12
DQ24-TB12-TH12.csv,10.31728424595037,7.117962192262968,24,12,12
DQ24-TB24-TH12.csv,13.61276168446985,8.768246542035671,24,24,12
DQ3-TB3-TH24.csv,7.367000647635037,1.567074166271164,3,3,24
DQ3-TB6-TH24.csv,1.8182206461790384,2.2917091511090217,3,6,24
DQ3-TB12-TH24.csv,2.7969573528246507,3.6337889011493814,3,12,24
DQ3-TB24-TH24.csv,5.176560973182515,4.526279176353379,3,24,24
DQ6-TB3-TH24.csv,2.273029207943537,2.388311913398168,6,3,24
DQ6-TB6-TH24.csv,2.6997478049949017,3.8400452824490827,6,6,24
DQ6-TB12-TH24.csv,6.961700050723672,3.1348882109568508,6,12,24
DQ6-TB24-TH24.csv,8.061988490205822,7.044817926758495,6,24,24
DQ12-TB3-TH24.csv,6.239376435814509,3.49481599592916,12,3,24
DQ12-TB6-TH24.csv,4.510748618084807,3.4988655484407674,12,6,24
DQ12-TB12-TH24.csv,5.457062459452466,3.718271102202904,12,12,24
DQ12-TB24-TH24.csv,9.101278414105499,1.4023467888245424,12,24,24
DQ24-TB3-TH24.csv,7.478913947507192,9.142604988944134,24,3,24
DQ24-TB6-TH24.csv,6.853638394899071,1.9562643001211486,24,6,24
DQ24-TB12-TH24.csv,7.266346322968055,5.668423355353693,24,12,24
DQ24-TB24-TH24.csv,12.470366702903766,6.387379904650845,24,24,24
